iteration	channel	component	legacy_max_abs	current_max_abs
0	0	electron_count	8.0	missing
0	0	fermi_energy_ha	0.243670666760322	missing
0	0	gap_ha	0.02539767700628803	missing
0	0	h0	6.952366685355419	6.952366685355419
0	0	occupation	0.75	0.75
0	0	velocity_x	0.0	missing
0	0	velocity_y	0.0	missing
0	0	velocity_z	0.0	missing
0	0	vxc_dft	1948.047259752979	1948.0472597529777
0	0	wfc_spinor0	44.34462678950857	44.34462678950857
1	0	electron_count	8.0	missing
1	0	exx	237.3291828493486	0.649426768931663
1	0	fermi_energy_ha	1073.565077248155	missing
1	0	gap_ha	0.0	missing
1	0	mixed_h	103086.187591452	1954.127387118464
1	0	occupation	0.75	0.75
1	0	raw_h	103086.187591452	1954.127387118464
1	0	rotation_u	0.9362687894114592	0.9989008226863448
1	0	sigma_c_iw	174870.85576119443	0.5759552711844295
1	0	vc	104288.9092799171	1.0596836316695737
1	0	velocity_x	0.0	missing
1	0	velocity_y	0.0	missing
1	0	velocity_z	0.0	missing
1	0	wfc_spinor0	38.541944423695654	44.95109584457768
